iso_code,language_name,longitude,latitude,area,continent,status,family,source
fmp,Fe'fe',10.1442,5.18158,Africa,Africa,not endangered,Atlantic-Congo,ngangoum_when_2015
fpe,Pichi,8.78,3.74,Africa,Africa,not endangered,Indo-European,yakpo_grammar_2019
hif,Fiji Hindi,177.772,-17.8148,Papunesia,Pacific,not endangered,Indo-European,NA
fij,Fijian,178.33,-18,Papunesia,Pacific,not endangered,Austronesian,NA
fil,Filipino,123.464,12.265,Papunesia,Asia,not endangered,Austronesian,castle_complete_2010
tlp,Filomena Mata Totonac,-97.5931,20.1415,North America,Americas,not endangered,Totonacan,mcfarland_phonology_2009
bkb,Finallig,121.11,17.0319,Papunesia,Asia,?,Austronesian,fukuda_discourse-oriented_1997
fin,Finnish,25.5577,64.7628,Eurasia,Europe,not endangered,Uralic,karlsson_finnish_2015
foi,Foi,143.495,-6.47258,Papunesia,Pacific,not endangered,East Kutubu,rule_culture_1993
ppo,Folopa,144.458,-6.86321,Papunesia,Pacific,not endangered,Teberan,NA
fon,Fon,1.66495,7.15484,Africa,Africa,not endangered,Atlantic-Congo,lefebvre_grammar_2002
fod,Foodo,1.40486,9.56489,Africa,Africa,not endangered,Atlantic-Congo,plunkett_gray_c_overview_2009
frd,Fordata,131.511,-7.28902,Papunesia,Asia,threatened,Austronesian,barto_elath_tfamalik_1990
enf,Forest Enets,88.2121,69.9829,Eurasia,Asia,moribund,Uralic,siegl_materials_2013
for,Fore,145.5065,-6.64473,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,scott_fore_1978
?,Forest Nenets,71.97,63.72,Eurasia,?,shifting,Uralic,sammallahti_material_1974
fur,Friulian,13.0493,46.1473,Eurasia,Europe,threatened,Indo-European,laura_vanelli_friuli_nodate
flr,Fuliiru,28.9865,-3.04022,Africa,Africa,not endangered,Atlantic-Congo,van_otterloo_kifuliiru_2011
fun,Fulniô,-37.1402,-9.02591,South America,Americas,shifting,?,meland_douglas_fulnio_1966
fvr,Fur,23.6401,12.0455,Africa,Africa,not endangered,Furan,waag_fur_2010
fut,Futuna-Aniwa,170.215,-19.5303,Papunesia,Pacific,not endangered,Austronesian,capell_futuna-aniwa_1984
fuy,Fuyug,147.312,-8.6371,Papunesia,Pacific,not endangered,Goilalan,bradshaw_fuyug_2007
fwe,Fwe,24.43151,-17.72372,Africa,Africa,not endangered,Atlantic-Congo,gunnink_hilde_grammar_2018
pym,Fyam,9.22293,9.59006,Africa,Africa,shifting,Atlantic-Congo,nettle_fyem_1998
gaa,Ga,-0.18598,5.65488,Africa,Africa,not endangered,Atlantic-Congo,campbell_akua_asantewaa_grammar_2017
ttb,Gaa,11.9603,8.4809,Africa,Africa,shifting,Atlantic-Congo,boyd_raymond_linguistic_1999
tbi,Gaam,33.9797,11.4674,Africa,Africa,not endangered,Eastern Jebel,stirtz_timothy_m_possession_2006
gqa,Ga'anda,12.6479,10.2955,Africa,Africa,not endangered,Afro-Asiatic,newman_roxana_ma_case_1971
gdg,Ga'dang,121.455,17.2238,Papunesia,Asia,not endangered,Austronesian,walrod_discourse_1979
gda,Gade Lohar,78.2187,25.8583,Eurasia,Asia,not endangered,Indo-European,sharma_jagdish_chander_descriptive_1988
ged,Gade,7.49869,8.71139,Africa,Africa,not endangered,Atlantic-Congo,sterk_jan_p_elements_1977
